Age 35 & older:	APPLICANT MUST BE 35 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	109	89	68	8	67	89	119	135	27	44
371-575	134	107	81	8	75	101	134	152	28	46
576-750	185	144	108	8	82	112	145	166	34	55
751-950	227	174	130	8	84	114	148	168	34	55
951-1210	355	271	202	8	92	126	161	183	36	59
1211-1400	403	312	234	8	108	149	188	213	42	69
1401 & Over	597	470	355	8	111	153	193	220	42	69
Mopeds	N/A				56	75	102	117	7	11
										
Age 30-34:	APPLICANT MUST BE 30 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 3 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	136	111	84	8	70	94	125	142	34	55
371-575	167	134	101	8	81	110	142	163	35	58
576-750	231	180	135	8	89	121	156	178	42	69
751-950	283	218	162	8	91	124	159	180	42	69
951-1210	442	339	252	8	101	137	175	199	45	74
1211-1400	504	390	292	8	120	164	206	234	53	87
1401 & Over	747	588	444	8	124	171	213	241	53	87
Mopeds	N/A				58	77	105	120	8	14
										
Age 26-29:	APPLICANT MUST BE 26 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENTS AND /OR 3 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	263	219	168	8	85	115	150	170	34	55
371-575	315	257	196	8	104	142	180	205	35	58
576-750	420	333	251	8	118	162	203	230	42	69
751-950	507	395	296	8	121	165	207	235	42	69
951-1210	788	611	458	8	137	189	235	266	45	74
1211-1400	910	716	539	8	171	235	288	327	53	87
1401 & Over	1380	1104	838	8	178	246	300	339	53	87
Mopeds	N/A				64	87	116	133	8	14
										
Age 21-25:	APPLICANT MUST BE 21 OR OLDER WHEN POLICY STARTS. MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	338	279	215	8	105	143	182	206	64	105
371-575	408	330	251	8	134	184	228	259	66	109
576-750	547	431	325	8	155	213	263	298	80	132
751-950	663	514	386	8	159	220	270	306	80	132
951-1210	1031	797	597	8	185	256	312	353	85	141
1211-1400	1188	930	700	8	235	327	393	446	100	165
1401 & Over	1791	1427	1082	8	246	342	411	465	100	165
Mopeds	N/A				73	99	130	150	16	26
										
Age 20 & under:	MOTOR VEHICLE RECORD CANNOT EXCEED 1 ACCIDENT AND /OR 2 TICKETS IN THE LAST THREE YEARS. APPLICANTS 20 AND YOUNGER WISHING TO INSURE A MOTORCYCLE 501CC OR LARGER ARE REQUIRED TO HAVE AN  VIRGINIA MOTORCYCLE DRIVER'S LICENSE. A MOTORCYCLE PERMIT  FOR MOTORCYCLES 500CC OR SMALLER									
Displacement	P1	P2	P3	Rental Re	Limits of Liability				Med Pay	
(CC's)	2015 & 2014	2013 & 2012	2011		25/50/20	50/100/25	100/300/50	250/500/100	1000	2000
1-370	357	293	225	8	136	186	231	262	67	111
371-575	436	350	266	8	180	248	303	344	70	115
576-750	595	465	350	8	213	295	357	404	84	139
751-950	726	560	419	8	219	304	368	416	84	139
951-1210	1133	870	650	8	259	360	432	488	90	148
1211-1400	1295	1007	756	8	336	470	558	631	105	173
1401 & Over	1934	1530	1157	8	352	493	585	661	105	173
Mopeds	N/A				86	119	153	175	17	28
										
										
										
										
